player_id,player,position,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
JohnJu02,Juwan Johnson,TE,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,19,10,138,2,123,0,0,25,1
SmitKa00,Kaden Smith,TE,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,33,0,30,0,0,11,0
WarrKa00,Kahale Warring,TE,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmitKe03,Keith Smith,TE,ATL,0,0,0,0,0,0,0,0,0.0,2,13,0,8,3,3,18,0,9,0,0,8,0
BlanKe01,Kendall Blanton,TE,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,4,37,0,31,0,0,13,2
YeboKe00,Kenny Yeboah,TE,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,36,0,24,0,0,3,1
RadeKe00,Kevin Rader,TE,PIT,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2,8,0,8,0,0,4,0
PittKy00,Kyle Pitts,TE,ATL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,110,68,1026,1,467,0,0,313,6
RudoKy00,Kyle Rudolph,TE,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,39,26,257,1,205,0,0,137,0
GranKy00,Kylen Granson,TE,IND,0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,11,106,0,95,0,0,76,0
SmitLe00,Lee Smith,TE,ATL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,9,65,1,53,0,0,31,0
ThomLo00,Logan Thomas,TE,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,25,18,196,3,100,1,0,82,0
FarrLu00,Luke Farrell,TE,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,7,56,0,56,0,0,28,1
StocLu00,Luke Stocker,TE,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,12,0,12,0,0,6,0
LewiMa00,Marcedes Lewis,TE,GNB,0,0,0,0,0,0,0,0,0.0,0,0,0,0,28,23,214,0,124,0,0,144,0
AndrMa00,Mark Andrews,TE,BAL,0,0,0,0,0,0,0,0,0.0,1,0,0,0,153,107,1361,9,444,0,0,458,3
BushMa00,Matt Bushman,TE,LVR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCoMa00,Matt LaCosse,TE,NWE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
WillMa04,Maxx Williams,TE,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17,16,193,1,80,0,0,125,0
GesiMi00,Mike Gesicki,TE,MIA,0,1,0,0,0,0,0,0,2.3294117647058825,0,0,0,0,112,73,780,2,317,0,0,221,3
ForrMi00,Miller Forristall,TE,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
WilcMi01,Mitchell Wilcox,TE,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,16,0,8,0,0,8,1
AlieMo00,Mo Alie-Cox,TE,IND,0,0,0,0,0,0,0,0,0.0,0,0,0,0,45,24,316,4,234,0,0,150,2
